Year,Males,Females,Other,Unknown,Persons
2006/07,"1,182",242, N/A , N/A ,"1,424"
2007/08,"1,184",243, N/A , N/A ,"1,427"
2008/09,"1,178",240, N/A , N/A ,"1,417"
2009/10,"1,118",225, N/A , N/A ,"1,342"
2010/11,"1,098",212, N/A , N/A ,"1,310"
2011/12,"1,001",183, N/A , N/A ,"1,184"
2012/13,881,156, N/A , N/A ,"1,038"
2013/14,841,153, N/A , N/A ,995
2014/15,777,143, N/A , N/A ,919
2015/16,725,132, N/A , N/A ,857
2016/17,630,113, N/A , N/A ,742
2017/18,577,99, N/A , N/A ,675
2018/19,571,96, N/A , N/A ,667
2019/20,565,97, N/A , N/A ,662
2020/21,537,93,0,1,631
2021/22,548,96,0,3,647